Protocol,IMD Comp. measured,IMD Comp. theoretical,Patient Comp. measured,Patient Comp. theoretical,Server Comp. measured,Server Comp. theoretical,Total measured,Total theoretical
MedAuth,34.14 +/- 0.89,33.05,1.42 +/- 0.09,1.26,0.63 +/- 0.05,0.51,42.19 +/- 1.12,40.82
PLAKA-MD,31.36 +/- 0.89,30.45,1.14 +/- 0.04,1.112,0.04 +/- 0.001,0.0377,40.74 +/- 0.91,39.60
ERASMIS,2902.75 +/- 85.2,2818.2,1.10 +/- 0.04,1.068,0.023 +/- 0.001,0.022,2911.87 +/- 85.3,2827.29
4F-IoMT,2925.66 +/- 87.5,2840.45,1.50 +/- 0.06,1.458,0.057 +/- 0.002,0.0548,2935.22 +/- 87.6,2849.96
